id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
117,1,Pastelito Pantera Rosa Bimbo 3 uds relleno de crema,1.89,0.22,,PANTERA ROSA,Bizcochos y tartas,https://www.ahorramas.com/pastelito-pantera-rosa-bimbo-3-uds-relleno-de-crema-7625.html
118,1,Tagliatelle Gallo gourmet 250g al nero di sepia,2.15,0.25,,GALLO,Pasta,https://www.ahorramas.com/tagliatelle-gallo-gourmet-250g-al-nero-di-sepia-82554.html
119,1,Calamar Albo 72g en salsa americana,2.49,0.07,,ALBO,Otras conservas de pescado,https://www.ahorramas.com/calamar-albo-72g-en-salsa-americana-82773.html
120,1,Baguette de horno 250g,0.59,0.25,,,Pan de horno,https://www.ahorramas.com/baguette-de-horno-250g-41201.html
121,1,Café origen brazil lungo Nescafé 10 cápsulas,3.69,0.05,,NESCAFE,Cafés,https://www.ahorramas.com/cafe-origen-brazil-lungo-nescafe-10-capsulas-49820.html
122,1,Pan molde Bimbo sin lactosa natural 460g,2.19,0.55,,BIMBO,Pan de molde,https://www.ahorramas.com/pan-molde-bimbo-sin-lactosa-natural-460g-38430.html
123,1,Alitas de pollo asadas BBQ Granja Gourmet 400g,3.69,0.4,,GRANJA GOURMET,Carne,https://www.ahorramas.com/alitas-de-pollo-asadas-bbq-granja-gourmet-400g-68490.html
124,1,Patatas fritas Ruffles jamón 45g,0.99,0.04,,RUFFLES,Patatas fritas,https://www.ahorramas.com/patatas-fritas-ruffles-jamon-45g-64077.html
125,1,Té verde matcha Undercover 50g,3.99,0.05,,UNDERCOVER,Infusiones,https://www.ahorramas.com/te-verde-matcha-undercover-50g-60355.html
126,1,Pote gallego Litoral 430g,3.69,0.43,,LITORAL,Legumbres,https://www.ahorramas.com/pote-gallego-litoral-430g-61948.html
127,1,Snacks Cheetos Pandilla 31g,0.99,0.03,,CHEETOS,Snacks,https://www.ahorramas.com/snacks-cheetos-pandilla-31g-30189.html
128,1,Caldo casero Gallina Blanca 1l carne 100% natural,2.2,1.0,,GALLINA BLANCA,Sopas y caldos,https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-carne-100-natural-30430.html
129,1,Café molido Bonka 250g mezcla 50/50,2.8,0.25,,BONKA,Cafés,https://www.ahorramas.com/cafe-molido-bonka-250g-mezcla-50-50-54835.html
130,1,Tagliatelle nido Garofalo 500g,2.59,0.5,,GAROFALO,Pasta,https://www.ahorramas.com/tagliatelle-nido-garofalo-500g-15960.html
131,1,Tortilla Old El Paso pockets 8 unidades,2.99,0.22,,OLD EL PASO,"Pan hamburguesa, Tortillas wrap y Pan de perritos",https://www.ahorramas.com/tortilla-old-el-paso-pockets-8-unidades-44451.html
132,1,Café soluble Nescafé gold 250g capuccino,3.45,0.25,,NESCAFE,Cafés,https://www.ahorramas.com/cafe-soluble-nescafe-gold-250g-capuccino-80579.html
133,1,Pasta fresca tortellini jamon y queso Rana 250g jamon y qu,2.59,0.25,,RANA,"Arroz, pasta, noodles",https://www.ahorramas.com/pasta-fresca-tortellini-jamon-y-queso-rana-250g-jamon-y-qu-17482.html
134,1,Spaghettini Gallo 450g al huevo,1.67,0.45,,GALLO,Pasta,https://www.ahorramas.com/spaghettini-gallo-450g-al-huevo-57.html
135,1,Cereales en copos de maíz tostados 450g Frosties,2.75,0.45,,FROSTIES,Cereales,https://www.ahorramas.com/cereales-en-copos-de-maiz-tostados-450g-frosties-11343.html
136,1,Galleta cookies mini Milka 110g,1.7,0.11,,MILKA,Galletas,https://www.ahorramas.com/galleta-cookies-mini-milka-110g-61380.html
137,1,Cereales con chocolate negro Special K 325g,2.25,0.33,,SPECIAL K,Cereales,https://www.ahorramas.com/cereales-con-chocolate-negro-special-k-325g-67581.html
138,1,Té rojo Hornimans 20u con anés,2.79,0.04,,HORNIMANS,Infusiones,https://www.ahorramas.com/te-rojo-hornimans-20u-con-anes-31179.html
139,1,Pasta fresca ravioli Rana 250g relleno de pollo asado,2.59,0.25,,RANA,"Arroz, pasta, noodles",https://www.ahorramas.com/pasta-fresca-ravioli-rana-250g-relleno-de-pollo-asado-48962.html
140,1,Chocolate blanco sin gluten Nestlé 180g postres,2.25,0.18,,NESTLE,Tabletas,https://www.ahorramas.com/chocolate-blanco-sin-gluten-nestle-180g-postres-23792.html
141,1,Harina Gallo 1kg repostería,1.63,1.0,,GALLO,Harina,https://www.ahorramas.com/harina-gallo-1kg-reposteria-46251.html
142,1,Salsa fresca Rana 180g quesos italianos,2.1,0.18,,RANA,Salsas,https://www.ahorramas.com/salsa-fresca-rana-180g-quesos-italianos-39882.html
143,1,Cereales Cheerios 300g avena,2.79,0.3,,CHEERIOS,Cereales,https://www.ahorramas.com/cereales-cheerios-300g-avena-53650.html
144,1,Café capuccino nescafé Dolce Gusto 8 cápsulas,4.89,0.19,,DOLCE GUSTO,Cafés,https://www.ahorramas.com/cafe-capuccino-nescafe-dolce-gusto-8-capsulas-79643.html
145,1,Bonito Alipende 73g en escabeche,1.59,0.07,,ALIPENDE,Bonito y Ventresca,https://www.ahorramas.com/bonito-alipende-73g-en-escabeche-75840.html
146,1,Sazonador Old Paso 40g burritos,1.19,0.04,,OLD EL PASO,Especias,https://www.ahorramas.com/sazonador-old-paso-40g-burritos-44395.html
147,1,Patatas fritas Lay´s punto de sal 44g,0.99,0.04,,LAY'S,Patatas fritas,https://www.ahorramas.com/patatas-fritas-lays-punto-de-sal-44g-64014.html
148,1,Melba cuadrada Recondo 100g,1.99,0.1,,RECONDO,Pan tostado y Biscotes,https://www.ahorramas.com/melba-cuadrada-recondo-100g-57437.html
