id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
63,2,Salchichas de queso Oscar Mayers Jumbo sin gluten 350 g.,2.55,0.35,, Campofrio Food Group S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/480387_00_1.jpg
64,2,Queso mozzarella italiana light Galbani 125 g.,2.09,,, Lactalis Forlasa S.L.U.,,https://static.carrefour.es/hd_350x_/img_pim_food/571568_00_1.jpg
65,2,Queso tierno en porciones Mini Babybel sin gluten sin lactosa 120 g.,2.79,0.12,," Grupo Fromageries Bel España, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/221478_00_1.jpg
66,2,Kale Carrefour 200 g,1.3,0.2,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/860113_00_1.jpg
67,2,Queso fundido en porciones Carrefour Kids 400 g.,2.45,0.4,, Centros Comerciales Carrefour S.A.,,assets/imageproductonoencontrada.jpg
68,2,Preparado para cocido Carrefour 1 kg aprox,5.95,,, Centros Comerciales Carrefour S.A.,,assets/imageproductonoencontrada.jpg
69,2,Carpaccio de vacuno marinado Roler 110 g,3.75,,,,,assets/imageproductonoencontrada.jpg
70,2,Pimiento del piquillo relleno de bacalao congelados Carrefour 400 g,3.99,,,,,assets/imageproductonoencontrada.jpg
71,2,Queso parmesano Parmareggio 200 g.,6.65,,,,,assets/imageproductonoencontrada.jpg
72,2,Queso cabra lonchas García Baquero 125 g.,3.19,0.125,," Lácteas García Baquero, S.A.",,assets/imageproductonoencontrada.jpg
73,2,Remolacha cocina al vacio Bio 500 g,1.5,,,,,assets/imageproductonoencontrada.jpg
74,2,Rabanito corto manojo de 400 g,1.4,,,,,assets/imageproductonoencontrada.jpg
75,2,Fuet casero ElPozo 150 g.,2.73,0.15,, ELPOZO ALIMENTACION SA,,assets/imageproductonoencontrada.jpg
76,2,Ajo ecológico Carrefour Bio a granel 200 g aprox,1.24,,,,,assets/imageproductonoencontrada.jpg
77,2,Paté a la pimienta Classic Carrefour sin gluten y sin lactosa 160 g.,1.22,0.16,," CENTROS COMERCIALES CARREFOUR, S.A.",,assets/imageproductonoencontrada.jpg
78,2,Naranja ecológica Carrefour Bio 1 Kg,2.19,,,,,assets/imageproductonoencontrada.jpg
79,2,Chopped en lonchas Carrefour sin gluten 250 g,1.39,0.25,, Centros Comerciales Carrefour S.A,,assets/imageproductonoencontrada.jpg
80,2,Queso de mezcla semicurado ya cortado Carrefour Classic cuña de 250 g,3.49,0.25,, Centros Comerciales Carrefour S.A,,assets/imageproductonoencontrada.jpg
81,2,Gallo 1 kg aprox,8.95,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/056201_00_1.jpg
82,2,Ensaladilla rusa 300 g,2.7,0.3,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/552682_00_1.jpg
83,2,Queso en lonchas protein Arla 150 g.,3.09,0.15,, Arla Foods,,https://static.carrefour.es/hd_350x_/img_pim_food/857192_00_1.jpg
84,2,Jamón cocido y ahumado a la leña extra en lonchas sin gluten y sin lactosa 180 g,3.49,,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/445648_00_1.jpg
85,2,Cebolla blanca Carrefour 500 g,1.79,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/795904_00_1.jpg
86,2,Queso rallado 4 quesos El Caserío 120 g.,2.89,0.12,," Mondelez España Commercial, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/167065_00_1.jpg
87,2,Jamón serrano gran reserva en lonchas Nico sin gluten y sin lactosa 90 g,2.19,0.9,, Nico Jamones S.L.,,assets/imageproductonoencontrada.jpg
88,2,Tomate rosa tip top 750 g,2.85,,,,,assets/imageproductonoencontrada.jpg
89,2,Jamón de York para Sándwich en lonchas El Pozo sin gluten 300 g,1.99,0.3,, ELPOZO ALIMENTACION SA,,assets/imageproductonoencontrada.jpg
